Time,Auto/Man,Temperature Inside,Humidity Inside
2021-04-15 11:20:04,Automatic,24.0,47.0
2021-04-15 11:25:03,Automatic,23.0,39.0
2021-04-15 11:30:04,Automatic,23.0,39.0
2021-04-15 11:35:12,Automatic,24.0,49.0
2021-04-15 11:40:04,Automatic,24.0,40.0
2021-04-15 11:45:37,Automatic,24.0,37.0
2021-04-15 11:55:03,Automatic,12.0,147.0
2021-04-15 12:10:03,Automatic,24.0,36.0
2021-04-15 12:15:29,Automatic,24.0,36.0
2021-04-15 12:30:24,Automatic,25.0,36.0
2021-04-15 17:20:04,Automatic,23.0,36.0
2021-04-16 09:40:34,Automatic,24.0,30.0
2021-04-16 09:45:03,Automatic,24.0,30.0
2021-04-16 09:50:03,Automatic,24.0,29.0
2021-04-16 10:15:03,Automatic,25.0,28.0
2021-04-16 11:10:04,Automatic,26.0,36.0
2021-04-16 11:15:04,Automatic,26.0,31.0
2021-04-16 11:20:04,Automatic,25.0,31.0
2021-04-16 11:25:04,Automatic,25.0,30.0
2021-04-16 11:30:04,Automatic,25.0,31.0
2021-04-16 11:35:04,Automatic,25.0,30.0
2021-04-16 11:40:04,Automatic,25.0,31.0
2021-04-16 11:45:04,Automatic,26.0,31.0
2021-04-16 11:50:04,Automatic,25.0,31.0
2021-04-16 11:55:04,Automatic,25.0,31.0
2021-04-16 12:00:14,Automatic,25.0,38.0
2021-04-16 12:05:04,Automatic,25.0,38.0
2021-04-16 12:06:49,Manual,25.0,32.0
2021-04-16 12:09:48,Manual,25.0,38.0
2021-04-16 12:09:53,Manual,26.0,32.0
2021-04-16 12:10:04,Automatic,26.0,33.0
2021-04-16 12:15:03,Automatic,26.0,32.0
2021-04-16 12:20:03,Automatic,26.0,31.0
2021-04-16 12:25:03,Automatic,26.0,32.0
2021-04-16 12:30:03,Automatic,26.0,31.0
2021-04-16 12:35:03,Automatic,26.0,32.0
2021-04-16 12:40:03,Automatic,26.0,32.0
2021-04-16 12:45:06,Automatic,26.0,32.0
2021-04-16 12:50:04,Automatic,26.0,37.0
2021-04-16 12:55:06,Automatic,26.0,31.0
2021-04-16 13:00:03,Automatic,26.0,37.0
2021-04-16 13:05:03,Automatic,26.0,31.0
2021-04-16 13:10:03,Automatic,26.0,32.0
2021-04-16 13:15:04,Automatic,26.0,33.0
2021-04-16 13:20:04,Automatic,26.0,32.0
2021-04-16 13:25:04,Automatic,26.0,32.0
